frame_id,source_index,source_label,total_people,queue_pairs,queue_detected,roi_Check-in,roi_Immigration,roi_Security Lane
88,0,File: 2025-11-27 18-27-45.mp4,15,5,True,0,1,5
89,0,File: 2025-11-27 18-27-45.mp4,15,5,True,0,1,5
90,0,File: 2025-11-27 18-27-45.mp4,15,5,True,0,1,5
91,0,File: 2025-11-27 18-27-45.mp4,15,6,True,0,1,4
92,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,1,4
93,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,1,4
94,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,1,4
95,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,1,5
96,0,File: 2025-11-27 18-27-45.mp4,15,7,True,0,2,4
97,0,File: 2025-11-27 18-27-45.mp4,16,8,True,0,2,4
98,0,File: 2025-11-27 18-27-45.mp4,16,8,True,0,2,4
99,0,File: 2025-11-27 18-27-45.mp4,18,11,True,0,3,4
100,0,File: 2025-11-27 18-27-45.mp4,17,8,True,0,3,4
101,0,File: 2025-11-27 18-27-45.mp4,18,8,True,0,3,5
102,0,File: 2025-11-27 18-27-45.mp4,18,7,True,0,2,5
103,0,File: 2025-11-27 18-27-45.mp4,19,10,True,0,2,5
104,0,File: 2025-11-27 18-27-45.mp4,18,9,True,0,2,4
105,0,File: 2025-11-27 18-27-45.mp4,19,10,True,0,3,4
106,0,File: 2025-11-27 18-27-45.mp4,19,10,True,0,3,4
107,0,File: 2025-11-27 18-27-45.mp4,19,10,True,0,3,4
108,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,3,4
109,0,File: 2025-11-27 18-27-45.mp4,17,8,True,0,2,3
110,0,File: 2025-11-27 18-27-45.mp4,18,11,True,0,2,3
111,0,File: 2025-11-27 18-27-45.mp4,18,11,True,0,2,3
112,0,File: 2025-11-27 18-27-45.mp4,20,12,True,0,2,4
113,0,File: 2025-11-27 18-27-45.mp4,19,10,True,0,2,4
114,0,File: 2025-11-27 18-27-45.mp4,19,11,True,0,1,4
115,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,1,4
116,0,File: 2025-11-27 18-27-45.mp4,21,11,True,0,1,4
117,0,File: 2025-11-27 18-27-45.mp4,21,12,True,0,1,4
118,0,File: 2025-11-27 18-27-45.mp4,21,11,True,0,1,4
119,0,File: 2025-11-27 18-27-45.mp4,21,11,True,0,0,4
120,0,File: 2025-11-27 18-27-45.mp4,21,11,True,0,0,4
121,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,4
122,0,File: 2025-11-27 18-27-45.mp4,19,11,True,0,0,5
123,0,File: 2025-11-27 18-27-45.mp4,19,11,True,0,0,5
124,0,File: 2025-11-27 18-27-45.mp4,19,11,True,0,0,5
125,0,File: 2025-11-27 18-27-45.mp4,20,15,True,0,0,5
126,0,File: 2025-11-27 18-27-45.mp4,20,13,True,0,0,5
127,0,File: 2025-11-27 18-27-45.mp4,19,10,True,0,0,4
128,0,File: 2025-11-27 18-27-45.mp4,20,10,True,0,0,5
129,0,File: 2025-11-27 18-27-45.mp4,22,17,True,0,0,6
130,0,File: 2025-11-27 18-27-45.mp4,23,17,True,0,0,7
131,0,File: 2025-11-27 18-27-45.mp4,24,19,True,0,0,7
132,0,File: 2025-11-27 18-27-45.mp4,24,18,True,0,0,7
133,0,File: 2025-11-27 18-27-45.mp4,23,17,True,0,0,6
134,0,File: 2025-11-27 18-27-45.mp4,22,16,True,0,0,5
135,0,File: 2025-11-27 18-27-45.mp4,22,15,True,0,0,5
